id_data_diri,id_user,nama,nik,jenis_kelamin,tanggal_lahir,id_lokasi,created_at,updated_at
16,16,Lestari Purnomo,3302037010120016,PEREMPUAN,2012-10-30,152,2026-05-08 01:53:33,2026-05-08 01:53:33
17,17,Arif Suryanto,3302032711740017,LAKI_LAKI,1974-11-27,104,2026-05-08 01:53:33,2026-05-08 01:53:33
18,18,Rina Saputra,3302036309790018,PEREMPUAN,1979-09-23,147,2026-05-08 01:53:33,2026-05-08 01:53:33
19,19,Ayu Wati,3302034807720019,PEREMPUAN,1972-07-08,96,2026-05-08 01:53:33,2026-05-08 01:53:33
20,20,Rizky Maulana,3302031111750020,LAKI_LAKI,1975-11-11,57,2026-05-08 01:53:33,2026-05-08 01:53:33
21,21,Tri Setiawan,3302034411860021,PEREMPUAN,1986-11-04,218,2026-05-08 01:53:33,2026-05-08 01:53:33
22,22,Joko Saputra,3302032507910022,LAKI_LAKI,1991-07-25,200,2026-05-08 01:53:33,2026-05-08 01:53:33
23,23,Rangga Santoso,3302032907200023,LAKI_LAKI,2020-07-29,67,2026-05-08 01:53:33,2026-05-08 01:53:33
24,24,Wulan Prasetyo,3302035305780024,PEREMPUAN,1978-05-13,146,2026-05-08 01:53:33,2026-05-08 01:53:33
25,25,Ningsih Setiawan,3302036009050025,PEREMPUAN,2005-09-20,135,2026-05-08 01:53:33,2026-05-08 01:53:33
26,26,Fitri Wibowo,3302034412010026,PEREMPUAN,2001-12-04,139,2026-05-08 01:53:33,2026-05-08 01:53:33
27,27,Rina Cahyono,3302034703150027,PEREMPUAN,2015-03-07,93,2026-05-08 01:53:33,2026-05-08 01:53:33
28,28,Bagus Susanto,3302030509220028,LAKI_LAKI,2022-09-05,205,2026-05-08 01:53:33,2026-05-08 01:53:33
29,29,Agus Nugroho,3302031101960029,LAKI_LAKI,1996-01-11,229,2026-05-08 01:53:33,2026-05-08 01:53:33
30,30,Sri Kurniawan,3302036401770030,PEREMPUAN,1977-01-24,110,2026-05-08 01:53:33,2026-05-08 01:53:33
31,31,Prasetyo Cahyono,3302031306840031,LAKI_LAKI,1984-06-13,241,2026-05-08 01:53:33,2026-05-08 01:53:33
32,32,Fitri Lestari,3302036302100032,PEREMPUAN,2010-02-23,129,2026-05-08 01:53:33,2026-05-08 01:53:33
33,33,Dewi Purnomo,3302036808080033,PEREMPUAN,2008-08-28,116,2026-05-08 01:53:33,2026-05-08 01:53:33
34,34,Galih Saputra,3302030510240034,LAKI_LAKI,2024-10-05,94,2026-05-08 01:53:33,2026-05-08 01:53:33
35,35,Siti Nugroho,3302036709780035,PEREMPUAN,1978-09-27,134,2026-05-08 01:53:33,2026-05-08 01:53:33
36,36,Eko Wijaya,3302030510140036,LAKI_LAKI,2014-10-05,135,2026-05-08 01:53:33,2026-05-08 01:53:33
37,37,Agus Saputra,3302030907960037,LAKI_LAKI,1996-07-09,126,2026-05-08 01:53:33,2026-05-08 01:53:33
38,38,Sri Saputra,3302035409010038,PEREMPUAN,2001-09-14,100,2026-05-08 01:53:33,2026-05-08 01:53:33
39,39,Kartika Utami,3302036102930039,PEREMPUAN,1993-02-21,250,2026-05-08 01:53:33,2026-05-08 01:53:33
40,40,Rina Ramadhan,3302034808820040,PEREMPUAN,1982-08-08,179,2026-05-08 01:53:33,2026-05-08 01:53:33
41,41,Bayu Purnomo,3302031108020041,LAKI_LAKI,2002-08-11,159,2026-05-08 01:53:33,2026-05-08 01:53:33
42,42,Arif Cahyono,3302032007090042,LAKI_LAKI,2009-07-20,214,2026-05-08 01:53:33,2026-05-08 01:53:33
43,43,Sri Suryanto,3302035107030043,PEREMPUAN,2003-07-11,184,2026-05-08 01:53:33,2026-05-08 01:53:33
44,44,Dewi Maulana,3302037107930044,PEREMPUAN,1993-07-31,219,2026-05-08 01:53:33,2026-05-08 01:53:33
45,45,Teguh Prasetyo,3302031912910045,LAKI_LAKI,1991-12-19,94,2026-05-08 01:53:33,2026-05-08 01:53:33
46,46,Bagus Hidayat,3302032901960046,LAKI_LAKI,1996-01-29,200,2026-05-08 01:53:33,2026-05-08 01:53:33
47,47,Ayu Purnomo,3302035907760047,PEREMPUAN,1976-07-19,173,2026-05-08 01:53:33,2026-05-08 01:53:33
48,48,Dimas Wijaya,3302032104010048,LAKI_LAKI,2001-04-21,219,2026-05-08 01:53:33,2026-05-08 01:53:33
49,49,Sri Hidayat,3302035610790049,PEREMPUAN,1979-10-16,242,2026-05-08 01:53:33,2026-05-08 01:53:33
50,50,Wahyu Setiawan,3302031208050050,LAKI_LAKI,2005-08-12,157,2026-05-08 01:53:33,2026-05-08 01:53:33
51,51,Lestari Lestari,3302035410750051,PEREMPUAN,1975-10-14,209,2026-05-08 01:53:33,2026-05-08 01:53:33
52,52,Kartika Wibowo,3302036801890052,PEREMPUAN,1989-01-28,126,2026-05-08 01:53:33,2026-05-08 01:53:33
53,53,Tri Nugroho,3302034806730053,PEREMPUAN,1973-06-08,175,2026-05-08 01:53:33,2026-05-08 01:53:33
54,54,Yoga Ramadhan,3302032402890054,LAKI_LAKI,1989-02-24,63,2026-05-08 01:53:33,2026-05-08 01:53:33
55,55,Indah Suryanto,3302034708750055,PEREMPUAN,1975-08-07,176,2026-05-08 01:53:33,2026-05-08 01:53:33
56,56,Rizky Prasetyo,3302030811740056,LAKI_LAKI,1974-11-08,249,2026-05-08 01:53:33,2026-05-08 01:53:33
57,57,Putri Hidayat,3302035803940057,PEREMPUAN,1994-03-18,76,2026-05-08 01:53:33,2026-05-08 01:53:33
58,58,Joko Purnomo,3302031903760058,LAKI_LAKI,1976-03-19,75,2026-05-08 01:53:33,2026-05-08 01:53:33
59,59,Ratna Cahyono,3302034207100059,PEREMPUAN,2010-07-02,109,2026-05-08 01:53:33,2026-05-08 01:53:33
60,60,Dewi Saputra,3302034707860060,PEREMPUAN,1986-07-07,164,2026-05-08 01:53:33,2026-05-08 01:53:33
61,61,Anisa Setiawan,3302036008960061,PEREMPUAN,1996-08-20,144,2026-05-08 01:53:33,2026-05-08 01:53:33
62,62,Kartika Permadi,3302035703130062,PEREMPUAN,2013-03-17,231,2026-05-08 01:53:33,2026-05-08 01:53:33
63,63,Arif Ramadhan,3302030903090063,LAKI_LAKI,2009-03-09,154,2026-05-08 01:53:33,2026-05-08 01:53:33
64,64,Galih Setiawan,3302032704200064,LAKI_LAKI,2020-04-27,74,2026-05-08 01:53:33,2026-05-08 01:53:33
65,65,Yoga Prasetyo,3302031701990065,LAKI_LAKI,1999-01-17,93,2026-05-08 01:53:33,2026-05-08 01:53:33
66,66,Kartika Lestari,3302036603830066,PEREMPUAN,1983-03-26,84,2026-05-08 01:53:33,2026-05-08 01:53:33
67,67,Ningsih Prasetyo,3302037007930067,PEREMPUAN,1993-07-30,170,2026-05-08 01:53:33,2026-05-08 01:53:33
68,68,Andi Wibowo,3302032404100068,LAKI_LAKI,2010-04-24,64,2026-05-08 01:53:33,2026-05-08 01:53:33
69,69,Wahyu Permadi,3302030211860069,LAKI_LAKI,1986-11-02,97,2026-05-08 01:53:33,2026-05-08 01:53:33
70,70,Indah Setiawan,3302036305890070,PEREMPUAN,1989-05-23,103,2026-05-08 01:53:33,2026-05-08 01:53:33
71,71,Arif Prasetyo,3302032103030071,LAKI_LAKI,2003-03-21,132,2026-05-08 01:53:33,2026-05-08 01:53:33
72,72,Rina Susanto,3302035701150072,PEREMPUAN,2015-01-17,221,2026-05-08 01:53:33,2026-05-08 01:53:33
73,73,Ratna Handayani,3302036302070073,PEREMPUAN,2007-02-23,145,2026-05-08 01:53:33,2026-05-08 01:53:33
74,74,Lestari Wibowo,3302034812160074,PEREMPUAN,2016-12-08,100,2026-05-08 01:53:33,2026-05-08 01:53:33
75,75,Indah Hidayat,3302034706080075,PEREMPUAN,2008-06-07,196,2026-05-08 01:53:33,2026-05-08 01:53:33
76,76,Wahyu Purnomo,3302031109180076,LAKI_LAKI,2018-09-11,127,2026-05-08 01:53:33,2026-05-08 01:53:33
77,77,Intan Wibowo,3302037105950077,PEREMPUAN,1995-05-31,77,2026-05-08 01:53:33,2026-05-08 01:53:33
78,78,Ahmad Maulana,3302031601780078,LAKI_LAKI,1978-01-16,160,2026-05-08 01:53:33,2026-05-08 01:53:33
79,79,Galih Permadi,3302031507140079,LAKI_LAKI,2014-07-15,80,2026-05-08 01:53:33,2026-05-08 01:53:33
80,80,Rahayu Santoso,3302036802150080,PEREMPUAN,2015-02-28,225,2026-05-08 01:53:33,2026-05-08 01:53:33
81,81,Nur Kurniawan,3302036709070081,PEREMPUAN,2007-09-27,171,2026-05-08 01:53:33,2026-05-08 01:53:33
82,82,Nur Susanto,3302034904800082,PEREMPUAN,1980-04-09,86,2026-05-08 01:53:33,2026-05-08 01:53:33
83,83,Ratna Purnomo,3302035608110083,PEREMPUAN,2011-08-16,56,2026-05-08 01:53:33,2026-05-08 01:53:33
84,84,Ningsih Wati,3302034202900084,PEREMPUAN,1990-02-02,123,2026-05-08 01:53:33,2026-05-08 01:53:33
85,85,Ratna Kurniawan,3302037007970085,PEREMPUAN,1997-07-30,56,2026-05-08 01:53:33,2026-05-08 01:53:33
86,86,Siti Prasetyo,3302034612720086,PEREMPUAN,1972-12-06,94,2026-05-08 01:53:33,2026-05-08 01:53:33
87,87,Intan Lestari,3302036307160087,PEREMPUAN,2016-07-23,140,2026-05-08 01:53:33,2026-05-08 01:53:33
88,88,Wahyu Kurniawan,3302030205210088,LAKI_LAKI,2021-05-02,197,2026-05-08 01:53:33,2026-05-08 01:53:33
89,89,Intan Purnomo,3302035504870089,PEREMPUAN,1987-04-15,68,2026-05-08 01:53:33,2026-05-08 01:53:33
90,90,Maya Hidayat,3302036407810090,PEREMPUAN,1981-07-24,158,2026-05-08 01:53:33,2026-05-08 01:53:33
91,91,Anisa Suryanto,3302036905160091,PEREMPUAN,2016-05-29,114,2026-05-08 01:53:33,2026-05-08 01:53:33
92,92,Prasetyo Wibowo,3302030205810092,LAKI_LAKI,1981-05-02,216,2026-05-08 01:53:33,2026-05-08 01:53:33
93,93,Tri Hidayat,3302034705930093,PEREMPUAN,1993-05-07,137,2026-05-08 01:53:33,2026-05-08 01:53:33
94,94,Dwi Prasetyo,3302031405780094,LAKI_LAKI,1978-05-14,166,2026-05-08 01:53:33,2026-05-08 01:53:33
95,95,Fajar Prasetyo,3302032403230095,LAKI_LAKI,2023-03-24,213,2026-05-08 01:53:33,2026-05-08 01:53:33
96,96,Bagus Prasetyo,3302031904210096,LAKI_LAKI,2021-04-19,245,2026-05-08 01:53:33,2026-05-08 01:53:33
97,97,Arif Hidayat,3302031509100097,LAKI_LAKI,2010-09-15,116,2026-05-08 01:53:33,2026-05-08 01:53:33
98,98,Rizky Permadi,3302032108960098,LAKI_LAKI,1996-08-21,117,2026-05-08 01:53:33,2026-05-08 01:53:33
99,99,Dewi Utami,3302035505930099,PEREMPUAN,1993-05-15,76,2026-05-08 01:53:33,2026-05-08 01:53:33
100,100,Andi Wibowo,3302032901720100,LAKI_LAKI,1972-01-29,83,2026-05-08 01:53:33,2026-05-08 01:53:33
101,101,Rina Wibowo,3302035806230101,PEREMPUAN,2023-06-18,91,2026-05-08 01:53:33,2026-05-08 01:53:33
102,102,Anisa Saputra,3302034407930102,PEREMPUAN,1993-07-04,74,2026-05-08 01:53:33,2026-05-08 01:53:33
103,103,Nur Purnomo,3302034406020103,PEREMPUAN,2002-06-04,80,2026-05-08 01:53:33,2026-05-08 01:53:33
104,104,Ratna Saputra,3302036112710104,PEREMPUAN,1971-12-21,179,2026-05-08 01:53:33,2026-05-08 01:53:33
105,105,Wahyu Purnomo,3302031211880105,LAKI_LAKI,1988-11-12,135,2026-05-08 01:53:33,2026-05-08 01:53:33
106,106,Anisa Wati,3302035506840106,PEREMPUAN,1984-06-15,57,2026-05-08 01:53:33,2026-05-08 01:53:33
107,107,Galih Santoso,3302032311200107,LAKI_LAKI,2020-11-23,85,2026-05-08 01:53:33,2026-05-08 01:53:33
108,108,Kartika Maulana,3302035002010108,PEREMPUAN,2001-02-10,208,2026-05-08 01:53:33,2026-05-08 01:53:33
109,109,Prasetyo Utami,3302031803840109,LAKI_LAKI,1984-03-18,86,2026-05-08 01:53:33,2026-05-08 01:53:33
110,110,Ahmad Permadi,3302031805240110,LAKI_LAKI,2024-05-18,60,2026-05-08 01:53:33,2026-05-08 01:53:33
111,111,Arif Wibowo,3302032805890111,LAKI_LAKI,1989-05-28,110,2026-05-08 01:53:33,2026-05-08 01:53:33
112,112,Fajar Kurniawan,3302032105990112,LAKI_LAKI,1999-05-21,76,2026-05-08 01:53:33,2026-05-08 01:53:33
113,113,Joko Susanto,3302030301940113,LAKI_LAKI,1994-01-03,106,2026-05-08 01:53:33,2026-05-08 01:53:33
114,114,Teguh Wati,3302030904010114,LAKI_LAKI,2001-04-09,174,2026-05-08 01:53:33,2026-05-08 01:53:33
115,115,Ningsih Purnomo,3302035302090115,PEREMPUAN,2009-02-13,104,2026-05-08 01:53:33,2026-05-08 01:53:33
116,116,Nur Utami,3302034807850116,PEREMPUAN,1985-07-08,155,2026-05-08 01:53:33,2026-05-08 01:53:33
117,117,Andi Wati,3302031205220117,LAKI_LAKI,2022-05-12,97,2026-05-08 01:53:33,2026-05-08 01:53:33
118,118,Wahyu Wijaya,3302030710130118,LAKI_LAKI,2013-10-07,163,2026-05-08 01:53:33,2026-05-08 01:53:33
119,119,Intan Wibowo,3302034608980119,PEREMPUAN,1998-08-06,210,2026-05-08 01:53:33,2026-05-08 01:53:33
120,120,Nur Ramadhan,3302034707080120,PEREMPUAN,2008-07-07,145,2026-05-08 01:53:33,2026-05-08 01:53:33
121,121,Retno Hidayat,3302034710750121,PEREMPUAN,1975-10-07,63,2026-05-08 01:53:33,2026-05-08 01:53:33
122,122,Ratna Wati,3302036608220122,PEREMPUAN,2022-08-26,209,2026-05-08 01:53:33,2026-05-08 01:53:33
123,123,Siti Wibowo,3302036509050123,PEREMPUAN,2005-09-25,101,2026-05-08 01:53:33,2026-05-08 01:53:33
124,124,Anisa Handayani,3302035007080124,PEREMPUAN,2008-07-10,117,2026-05-08 01:53:33,2026-05-08 01:53:33
125,125,Arif Handayani,3302032204890125,LAKI_LAKI,1989-04-22,92,2026-05-08 01:53:33,2026-05-08 01:53:33
126,126,Siti Lestari,3302036112800126,PEREMPUAN,1980-12-21,231,2026-05-08 01:53:33,2026-05-08 01:53:33
127,127,Rizky Wijaya,3302030407990127,LAKI_LAKI,1999-07-04,200,2026-05-08 01:53:33,2026-05-08 01:53:33
128,128,Tri Saputra,3302035511900128,PEREMPUAN,1990-11-15,153,2026-05-08 01:53:33,2026-05-08 01:53:33
129,129,Nur Cahyono,3302036812230129,PEREMPUAN,2023-12-28,110,2026-05-08 01:53:33,2026-05-08 01:53:33
130,130,Joko Maulana,3302032904200130,LAKI_LAKI,2020-04-29,226,2026-05-08 01:53:33,2026-05-08 01:53:33
131,131,Wahyu Suryanto,3302032906210131,LAKI_LAKI,2021-06-29,136,2026-05-08 01:53:33,2026-05-08 01:53:33
132,132,Nur Santoso,3302035110870132,PEREMPUAN,1987-10-11,181,2026-05-08 01:53:33,2026-05-08 01:53:33
133,133,Putri Suryanto,3302035403740133,PEREMPUAN,1974-03-14,85,2026-05-08 01:53:33,2026-05-08 01:53:33
134,134,Agus Maulana,3302031508100134,LAKI_LAKI,2010-08-15,138,2026-05-08 01:53:33,2026-05-08 01:53:33
135,135,Rahayu Prasetyo,3302035903910135,PEREMPUAN,1991-03-19,127,2026-05-08 01:53:33,2026-05-08 01:53:33
136,136,Ahmad Wijaya,3302032708210136,LAKI_LAKI,2021-08-27,127,2026-05-08 01:53:33,2026-05-08 01:53:33
137,137,Budi Permadi,3302032002060137,LAKI_LAKI,2006-02-20,190,2026-05-08 01:53:33,2026-05-08 01:53:33
138,138,Ahmad Saputra,3302030804000138,LAKI_LAKI,2000-04-08,175,2026-05-08 01:53:33,2026-05-08 01:53:33
139,139,Bayu Utami,3302032903070139,LAKI_LAKI,2007-03-29,136,2026-05-08 01:53:33,2026-05-08 01:53:33
140,140,Sri Permadi,3302034112050140,PEREMPUAN,2005-12-01,135,2026-05-08 01:53:33,2026-05-08 01:53:33
141,141,Dewi Purnomo,3302034712240141,PEREMPUAN,2024-12-07,131,2026-05-08 01:53:33,2026-05-08 01:53:33
142,142,Rina Handayani,3302034504140142,PEREMPUAN,2014-04-05,213,2026-05-08 01:53:33,2026-05-08 01:53:33
143,143,Hendra Santoso,3302031708720143,LAKI_LAKI,1972-08-17,57,2026-05-08 01:53:33,2026-05-08 01:53:33
144,144,Yoga Suryanto,3302030806790144,LAKI_LAKI,1979-06-08,112,2026-05-08 01:53:33,2026-05-08 01:53:33
145,145,Rizky Handayani,3302032411770145,LAKI_LAKI,1977-11-24,192,2026-05-08 01:53:33,2026-05-08 01:53:33
146,146,Joko Santoso,3302031709740146,LAKI_LAKI,1974-09-17,83,2026-05-08 01:53:33,2026-05-08 01:53:33
147,147,Dwi Utami,3302031904970147,LAKI_LAKI,1997-04-19,139,2026-05-08 01:53:33,2026-05-08 01:53:33
148,148,Anisa Nugroho,3302036003940148,PEREMPUAN,1994-03-20,204,2026-05-08 01:53:33,2026-05-08 01:53:33
149,149,Fitri Lestari,3302034310800149,PEREMPUAN,1980-10-03,92,2026-05-08 01:53:33,2026-05-08 01:53:33
150,150,Rina Cahyono,3302037101100150,PEREMPUAN,2010-01-31,190,2026-05-08 01:53:33,2026-05-08 01:53:33
151,151,Rangga Susanto,3302030511210151,LAKI_LAKI,2021-11-05,126,2026-05-08 01:53:33,2026-05-08 01:53:33
152,152,Ayu Saputra,3302036204130152,PEREMPUAN,2013-04-22,122,2026-05-08 01:53:33,2026-05-08 01:53:33
153,153,Indah Permadi,3302034606770153,PEREMPUAN,1977-06-06,117,2026-05-08 01:53:33,2026-05-08 01:53:33
154,154,Dwi Susanto,3302033112760154,LAKI_LAKI,1976-12-31,70,2026-05-08 01:53:33,2026-05-08 01:53:33
155,155,Rizky Wijaya,3302030703710155,LAKI_LAKI,1971-03-07,153,2026-05-08 01:53:33,2026-05-08 01:53:33
156,156,Eko Lestari,3302030110130156,LAKI_LAKI,2013-10-01,108,2026-05-08 01:53:33,2026-05-08 01:53:33
157,157,Retno Nugroho,3302036212970157,PEREMPUAN,1997-12-22,184,2026-05-08 01:53:33,2026-05-08 01:53:33
158,158,Hendra Handayani,3302030109810158,LAKI_LAKI,1981-09-01,153,2026-05-08 01:53:33,2026-05-08 01:53:33
159,159,Nur Purnomo,3302036501160159,PEREMPUAN,2016-01-25,103,2026-05-08 01:53:33,2026-05-08 01:53:33
160,160,Wahyu Hidayat,3302030512940160,LAKI_LAKI,1994-12-05,230,2026-05-08 01:53:33,2026-05-08 01:53:33
161,161,Rina Nugroho,3302035510210161,PEREMPUAN,2021-10-15,173,2026-05-08 01:53:33,2026-05-08 01:53:33
162,162,Hendra Prasetyo,3302032111790162,LAKI_LAKI,1979-11-21,172,2026-05-08 01:53:33,2026-05-08 01:53:33
163,163,Ahmad Susanto,3302030712930163,LAKI_LAKI,1993-12-07,224,2026-05-08 01:53:33,2026-05-08 01:53:33
164,164,Putri Wibowo,3302036907010164,PEREMPUAN,2001-07-29,195,2026-05-08 01:53:33,2026-05-08 01:53:33
165,165,Wahyu Setiawan,3302031810010165,LAKI_LAKI,2001-10-18,93,2026-05-08 01:53:33,2026-05-08 01:53:33
166,166,Ratna Cahyono,3302036001150166,PEREMPUAN,2015-01-20,140,2026-05-08 01:53:33,2026-05-08 01:53:33
167,167,Joko Handayani,3302030508090167,LAKI_LAKI,2009-08-05,80,2026-05-08 01:53:33,2026-05-08 01:53:33
168,168,Wahyu Setiawan,3302032604040168,LAKI_LAKI,2004-04-26,130,2026-05-08 01:53:33,2026-05-08 01:53:33
169,169,Agus Maulana,3302031602060169,LAKI_LAKI,2006-02-16,125,2026-05-08 01:53:33,2026-05-08 01:53:33
170,170,Ratna Wibowo,3302035207160170,PEREMPUAN,2016-07-12,229,2026-05-08 01:53:33,2026-05-08 01:53:33
171,171,Eko Kurniawan,3302030205920171,LAKI_LAKI,1992-05-02,84,2026-05-08 01:53:33,2026-05-08 01:53:33
172,172,Andi Utami,3302031503730172,LAKI_LAKI,1973-03-15,116,2026-05-08 01:53:33,2026-05-08 01:53:33
173,173,Eko Utami,3302032709170173,LAKI_LAKI,2017-09-27,112,2026-05-08 01:53:33,2026-05-08 01:53:33
174,174,Maya Wibowo,3302036802050174,PEREMPUAN,2005-02-28,111,2026-05-08 01:53:33,2026-05-08 01:53:33
175,175,Nur Hidayat,3302034406140175,PEREMPUAN,2014-06-04,107,2026-05-08 01:53:33,2026-05-08 01:53:33
176,176,Intan Wati,3302034211950176,PEREMPUAN,1995-11-02,242,2026-05-08 01:53:33,2026-05-08 01:53:33
177,177,Agus Cahyono,3302031606780177,LAKI_LAKI,1978-06-16,234,2026-05-08 01:53:33,2026-05-08 01:53:33
178,178,Ayu Hidayat,3302036305970178,PEREMPUAN,1997-05-23,135,2026-05-08 01:53:33,2026-05-08 01:53:33
179,179,Agus Lestari,3302031312840179,LAKI_LAKI,1984-12-13,171,2026-05-08 01:53:33,2026-05-08 01:53:33
180,180,Rangga Suryanto,3302032202710180,LAKI_LAKI,1971-02-22,140,2026-05-08 01:53:33,2026-05-08 01:53:33
181,181,Joko Saputra,3302030412850181,LAKI_LAKI,1985-12-04,98,2026-05-08 01:53:33,2026-05-08 01:53:33
182,182,Arif Susanto,3302031704230182,LAKI_LAKI,2023-04-17,204,2026-05-08 01:53:33,2026-05-08 01:53:33
183,183,Hendra Susanto,3302032210130183,LAKI_LAKI,2013-10-22,83,2026-05-08 01:53:33,2026-05-08 01:53:33
184,184,Andi Wati,3302032407710184,LAKI_LAKI,1971-07-24,113,2026-05-08 01:53:33,2026-05-08 01:53:33
185,185,Eko Wibowo,3302032502830185,LAKI_LAKI,1983-02-25,132,2026-05-08 01:53:33,2026-05-08 01:53:33
186,186,Kartika Handayani,3302035008100186,PEREMPUAN,2010-08-10,194,2026-05-08 01:53:33,2026-05-08 01:53:33
187,187,Putri Handayani,3302036408130187,PEREMPUAN,2013-08-24,172,2026-05-08 01:53:33,2026-05-08 01:53:33
188,188,Bayu Lestari,3302032008010188,LAKI_LAKI,2001-08-20,187,2026-05-08 01:53:33,2026-05-08 01:53:33
189,189,Putri Cahyono,3302035202800189,PEREMPUAN,1980-02-12,241,2026-05-08 01:53:33,2026-05-08 01:53:33
190,190,Wahyu Kurniawan,3302030904830190,LAKI_LAKI,1983-04-09,223,2026-05-08 01:53:33,2026-05-08 01:53:33
191,191,Rangga Prasetyo,3302031701020191,LAKI_LAKI,2002-01-17,117,2026-05-08 01:53:33,2026-05-08 01:53:33
192,192,Nur Saputra,3302037103020192,PEREMPUAN,2002-03-31,104,2026-05-08 01:53:33,2026-05-08 01:53:33
193,193,Putri Permadi,3302034709790193,PEREMPUAN,1979-09-07,170,2026-05-08 01:53:33,2026-05-08 01:53:33
194,194,Arif Lestari,3302032010930194,LAKI_LAKI,1993-10-20,155,2026-05-08 01:53:33,2026-05-08 01:53:33
195,195,Wulan Setiawan,3302035410940195,PEREMPUAN,1994-10-14,65,2026-05-08 01:53:33,2026-05-08 01:53:33
196,196,Rina Suryanto,3302034912240196,PEREMPUAN,2024-12-09,171,2026-05-08 01:53:33,2026-05-08 01:53:33
197,197,Rina Prasetyo,3302035611950197,PEREMPUAN,1995-11-16,182,2026-05-08 01:53:33,2026-05-08 01:53:33
198,198,Fajar Cahyono,3302030211110198,LAKI_LAKI,2011-11-02,129,2026-05-08 01:53:33,2026-05-08 01:53:33
199,199,Rangga Wati,3302032903970199,LAKI_LAKI,1997-03-29,71,2026-05-08 01:53:33,2026-05-08 01:53:33
200,200,Retno Santoso,3302036605710200,PEREMPUAN,1971-05-26,110,2026-05-08 01:53:33,2026-05-08 01:53:33
201,201,Rina Santoso,3302035703230201,PEREMPUAN,2023-03-17,180,2026-05-08 01:53:33,2026-05-08 01:53:33
202,202,Ratna Handayani,3302035606700202,PEREMPUAN,1970-06-16,224,2026-05-08 01:53:33,2026-05-08 01:53:33
203,203,Joko Nugroho,3302032406740203,LAKI_LAKI,1974-06-24,144,2026-05-08 01:53:33,2026-05-08 01:53:33
204,204,Tri Nugroho,3302035401150204,PEREMPUAN,2015-01-14,77,2026-05-08 01:53:33,2026-05-08 01:53:33
205,205,Nur Suryanto,3302035910820205,PEREMPUAN,1982-10-19,204,2026-05-08 01:53:33,2026-05-08 01:53:33
206,206,Hendra Santoso,3302030302960206,LAKI_LAKI,1996-02-03,176,2026-05-08 01:53:33,2026-05-08 01:53:33
207,207,Maya Suryanto,3302036504920207,PEREMPUAN,1992-04-25,157,2026-05-08 01:53:33,2026-05-08 01:53:33
208,208,Bayu Maulana,3302030906930208,LAKI_LAKI,1993-06-09,134,2026-05-08 01:53:33,2026-05-08 01:53:33
209,209,Wahyu Lestari,3302030408200209,LAKI_LAKI,2020-08-04,203,2026-05-08 01:53:33,2026-05-08 01:53:33
210,210,Joko Nugroho,3302032511870210,LAKI_LAKI,1987-11-25,161,2026-05-08 01:53:33,2026-05-08 01:53:33
211,211,Bayu Saputra,3302030401970211,LAKI_LAKI,1997-01-04,131,2026-05-08 01:53:33,2026-05-08 01:53:33
212,212,Anisa Purnomo,3302036012180212,PEREMPUAN,2018-12-20,166,2026-05-08 01:53:33,2026-05-08 01:53:33
213,213,Prasetyo Wijaya,3302030806820213,LAKI_LAKI,1982-06-08,232,2026-05-08 01:53:33,2026-05-08 01:53:33
214,214,Indah Wijaya,3302035503150214,PEREMPUAN,2015-03-15,145,2026-05-08 01:53:33,2026-05-08 01:53:33
