id_user;email;password;no_hp;status_verifikasi;nama;nik;jenis_kelamin;tanggal_lahir;id_lokasi;id_pendidikan;id_pekerjaan;id_pendapatan;jumlah_tanggungan;created_at;updated_at
32;daruna.prastuti111@gmail.com;123456;86469366647;1;Daruna Prastuti;6100912533965580;Perempuan;2003-10-04;11;2;8;3;3;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
33;diana.yuliarti34@gmail.com;123456;86242393960;1;Diana Yuliarti;2998026903972850;Perempuan;2003-05-20;14;4;6;1;4;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
34;kamaria.winarsih284@gmail.com;123456;88112160072;1;Kamaria Winarsih;3107574751590780;Laki-laki;1998-08-23;8;1;1;2;3;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
35;zelaya.winarno703@gmail.com;123456;81748311657;1;Zelaya Winarno;3525471685848480;Perempuan;1980-09-05;12;2;6;2;2;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
36;mala.prasetya384@gmail.com;123456;89640047310;1;Mala Prasetya;9564894902315150;Perempuan;2004-04-13;6;9;6;1;2;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
37;pia.kuswoyo827@gmail.com;123456;84576656660;1;Pia Kuswoyo;2793116079053410;Laki-laki;2000-11-07;6;10;10;1;0;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
38;indah.susanti162@gmail.com;123456;87004464253;1;Indah Susanti;1655329029772140;Laki-laki;1986-03-24;3;7;9;3;1;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
39;gaduh.hakim74@gmail.com;123456;83744034462;1;Gaduh Hakim;4919463414408730;Perempuan;1997-03-03;2;9;2;3;4;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
40;ratna.andriani,.s.pt928@gmail.com;123456;87396112117;1;Ratna Andriani, S.Pt;0964556869393446;Laki-laki;1989-01-27;13;5;10;1;2;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
41;cahyono.saefullah318@gmail.com;123456;84032690535;1;Cahyono Saefullah;9709516594889060;Laki-laki;1995-07-01;12;8;8;3;4;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
42;luis.suwarno373@gmail.com;123456;83243576006;1;Luis Suwarno;2769835139635930;Laki-laki;1989-05-10;13;6;3;3;5;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
43;suci.iswahyudi662@gmail.com;123456;86503937191;1;Suci Iswahyudi;2755756865116700;Laki-laki;2001-05-08;1;7;6;3;5;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
44;wirda.andriani993@gmail.com;123456;84274538483;1;Wirda Andriani;9942359881268520;Laki-laki;2002-01-04;14;2;5;1;1;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
45;t..ihsan.prayoga,.s.h.461@gmail.com;123456;89149243005;1;T. Ihsan Prayoga, S.H.;2930986712861740;Perempuan;1989-01-03;2;1;5;1;1;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
46;suci.suwarno114@gmail.com;123456;87212660845;1;Suci Suwarno;6572035165395750;Perempuan;2007-09-08;14;8;1;3;3;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
47;tgk..ade.aryani,.s.ip260@gmail.com;123456;87302615713;1;Tgk. Ade Aryani, S.IP;3686941179027830;Perempuan;1977-03-29;7;9;8;2;0;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
48;atma.zulaika293@gmail.com;123456;83783138783;1;Atma Zulaika;9449587068530640;Laki-laki;2007-04-29;7;3;8;2;3;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
49;raina.safitri745@gmail.com;123456;88392990638;1;Raina Safitri;6916700733566940;Laki-laki;1996-07-04;10;3;9;2;3;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
50;oni.gunawan,.m.pd666@gmail.com;123456;82901591772;1;Oni Gunawan, M.Pd;6692101798996750;Perempuan;1988-03-26;5;3;3;2;4;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
51;prakosa.mansur125@gmail.com;123456;89724354918;1;Prakosa Mansur;0374445130451855;Laki-laki;1987-02-06;13;3;7;3;0;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
52;ikhsan.prakasa531@gmail.com;123456;81137398826;1;Ikhsan Prakasa;5135519167685800;Laki-laki;2004-03-17;11;10;5;3;1;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
53;asmadi.pranowo633@gmail.com;123456;86462948620;1;Asmadi Pranowo;0442637789135342;Perempuan;1984-01-03;4;3;2;1;2;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
54;drs..kania.dongoran885@gmail.com;123456;86281353745;1;Drs. Kania Dongoran;4309592304864580;Perempuan;1988-04-20;15;5;6;2;2;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
55;kasiyah.nurdiyanti,.m.farm411@gmail.com;123456;80532345866;1;Kasiyah Nurdiyanti, M.Farm;1039531640078520;Laki-laki;1980-04-07;3;6;10;2;1;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
56;dr..cengkal.irawan632@gmail.com;123456;87238572836;1;Dr. Cengkal Irawan;9577604977575170;Perempuan;1997-01-17;14;7;3;3;1;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
57;wulan.safitri587@gmail.com;123456;89103164798;1;Wulan Safitri;7012365319337770;Laki-laki;1981-11-03;10;8;4;1;2;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
58;edward.permadi,.s.e.231@gmail.com;123456;89977644597;1;Edward Permadi, S.E.;2558337109096730;Perempuan;1981-11-13;5;9;5;1;0;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
59;cut.febi.nurdiyanti,.s.psi249@gmail.com;123456;80922134619;1;Cut Febi Nurdiyanti, S.Psi;9168467220762780;Laki-laki;1992-02-23;15;3;7;1;0;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
60;nabila.prasasta807@gmail.com;123456;84999805192;1;Nabila Prasasta;9549841114217760;Perempuan;1989-05-25;3;10;7;2;4;2026-05-20 08:22:18.390867;2026-05-20 08:22:18.390867
61;talia.marpaung89@gmail.com;123456;84094903423;1;Talia Marpaung;5523264169876690;Perempuan;1990-03-28;4;4;3;2;1;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
62;vivi.suryatmi766@gmail.com;123456;89379788765;1;Vivi Suryatmi;7553918925184670;Perempuan;1994-07-20;15;9;8;1;3;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
63;tirtayasa.sinaga526@gmail.com;123456;84556302020;1;Tirtayasa Sinaga;4750894211679380;Laki-laki;2007-06-12;15;7;7;1;5;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
64;tgk..gada.nuraini670@gmail.com;123456;88193198794;1;Tgk. Gada Nuraini;7432411870669820;Laki-laki;1989-09-03;10;1;8;3;5;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
65;dr..kezia.wahyuni251@gmail.com;123456;87422805287;1;Dr. Kezia Wahyuni;3563316230989640;Laki-laki;1981-09-09;6;7;9;2;5;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
66;dr..tami.lestari,.s.ked419@gmail.com;123456;81374837895;1;dr. Tami Lestari, S.Ked;9512269807126680;Perempuan;1996-07-10;13;10;9;1;3;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
67;tira.kuswandari891@gmail.com;123456;89392177796;1;Tira Kuswandari;7323246338487730;Laki-laki;1983-03-14;6;7;1;3;1;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
68;novi.putra17@gmail.com;123456;82954133846;1;Novi Putra;6289641717495600;Laki-laki;1988-04-04;14;2;1;1;3;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
69;cahya.maryadi863@gmail.com;123456;86012406996;1;Cahya Maryadi;0540752564919526;Laki-laki;1991-02-14;5;6;5;2;0;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
70;r.a..rini.sudiati,.m.m.983@gmail.com;123456;84592686870;1;R.A. Rini Sudiati, M.M.;3500144758050290;Perempuan;2004-10-26;8;5;1;1;5;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
71;dr..omar.yolanda,.s.psi921@gmail.com;123456;85618021889;1;Dr. Omar Yolanda, S.Psi;2558653776073020;Perempuan;2006-08-17;10;10;10;2;2;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
72;tgk..purwa.samosir,.s.gz650@gmail.com;123456;82943946606;1;Tgk. Purwa Samosir, S.Gz;7701767310332110;Laki-laki;2000-11-23;9;9;7;1;0;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
73;t..cecep.mardhiyah,.s.kom363@gmail.com;123456;85578047759;1;T. Cecep Mardhiyah, S.Kom;2561221122739750;Laki-laki;1999-04-24;8;2;3;2;0;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
74;puti.hani.budiman341@gmail.com;123456;88384486536;1;Puti Hani Budiman;6413376973273920;Perempuan;1983-08-25;3;9;1;3;3;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
75;cakrawangsa.damanik,.m.ak449@gmail.com;123456;87808761321;1;Cakrawangsa Damanik, M.Ak;4345559840978590;Laki-laki;1980-10-17;4;6;3;3;4;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
76;kamila.situmorang577@gmail.com;123456;89637940255;1;Kamila Situmorang;5543755301491910;Laki-laki;1978-12-07;8;4;9;2;2;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
77;amelia.suryono100@gmail.com;123456;84633818661;1;Amelia Suryono;9211592416406150;Perempuan;2008-02-03;12;4;4;2;5;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
78;ir..lasmanto.pratama,.s.i.kom592@gmail.com;123456;81813428565;1;Ir. Lasmanto Pratama, S.I.Kom;6538687260113160;Laki-laki;2008-05-03;7;10;3;3;3;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
79;yulia.rahimah191@gmail.com;123456;84599112186;1;Yulia Rahimah;8941356447415720;Perempuan;1999-12-11;4;9;5;1;3;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
80;prasetya.mahendra563@gmail.com;123456;85525957742;1;Prasetya Mahendra;4762802808182770;Perempuan;2002-07-23;10;7;3;3;1;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
81;salman.waluyo834@gmail.com;123456;82032537228;1;Salman Waluyo;9609799818278760;Laki-laki;1982-02-21;10;5;7;2;3;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
82;victoria.megantara649@gmail.com;123456;87747684458;1;Victoria Megantara;8096687398432520;Laki-laki;1994-06-14;13;6;1;1;0;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
83;balapati.handayani17@gmail.com;123456;81840926161;1;Balapati Handayani;9262391336267040;Perempuan;1980-11-20;4;9;8;1;0;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
84;aditya.purwanti837@gmail.com;123456;81864208132;1;Aditya Purwanti;3886605613279640;Perempuan;2008-03-13;15;2;3;1;4;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
85;tiara.tampubolon360@gmail.com;123456;89312056676;1;Tiara Tampubolon;8635572089414560;Perempuan;1990-05-10;6;6;3;2;4;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
86;pandu.yolanda,.s.e.i375@gmail.com;123456;85149050299;1;Pandu Yolanda, S.E.I;3277446510099130;Perempuan;1977-07-06;13;2;5;3;3;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
87;alika.pradana60@gmail.com;123456;82916066101;1;Alika Pradana;0435823787183452;Laki-laki;1990-09-08;10;2;8;2;4;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
88;mursita.zulkarnain57@gmail.com;123456;84532157250;1;Mursita Zulkarnain;8243198597434720;Perempuan;1987-11-23;6;2;9;3;0;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
89;putri.latupono229@gmail.com;123456;88990428350;1;Putri Latupono;2536454719720420;Laki-laki;1979-12-03;14;1;6;1;5;2026-05-20 08:22:18.392875;2026-05-20 08:22:18.392875
90;dewi.haryanto870@gmail.com;123456;87329499120;1;Dewi Haryanto;2848475563506130;Perempuan;2007-07-04;15;7;6;2;3;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
91;shakila.maheswara240@gmail.com;123456;80275114459;1;Shakila Maheswara;2321168608302360;Perempuan;1982-04-05;5;3;1;2;3;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
92;caraka.suryono97@gmail.com;123456;84810891836;1;Caraka Suryono;6528009419830410;Laki-laki;2007-03-04;14;7;8;1;3;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
93;lamar.laksita177@gmail.com;123456;83924166648;1;Lamar Laksita;4034672950374730;Perempuan;1992-03-09;6;7;5;1;0;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
94;malik.santoso612@gmail.com;123456;82870957991;1;Malik Santoso;6289092873881590;Perempuan;1976-08-04;15;10;1;3;5;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
95;wulan.narpati,.s.ip971@gmail.com;123456;85198895100;1;Wulan Narpati, S.IP;6043683188017110;Perempuan;2005-01-15;6;2;6;3;5;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
96;drg..paris.utami601@gmail.com;123456;81311979619;1;drg. Paris Utami;6972513617993990;Perempuan;1992-02-03;10;6;10;1;5;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
97;qori.salahudin,.s.i.kom960@gmail.com;123456;84303369867;1;Qori Salahudin, S.I.Kom;3026377044148340;Laki-laki;1977-06-04;13;10;4;1;3;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
98;safina.wibisono819@gmail.com;123456;88239013758;1;Safina Wibisono;0564091811216772;Laki-laki;2004-01-21;5;5;4;1;0;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
99;tgk..pandu.winarno,.s.h.586@gmail.com;123456;85400086402;1;Tgk. Pandu Winarno, S.H.;6941748263331040;Perempuan;1988-09-06;14;5;10;1;1;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
100;melinda.susanti88@gmail.com;123456;86847203596;1;Melinda Susanti;9522380555919490;Laki-laki;1990-05-06;4;4;3;1;3;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
101;vicky.pratiwi,.s.h.700@gmail.com;123456;84968299033;1;Vicky Pratiwi, S.H.;3248765441579950;Laki-laki;1993-01-23;5;9;6;2;2;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
102;utama.suwarno671@gmail.com;123456;84602166083;1;Utama Suwarno;2798083246081950;Perempuan;1984-08-08;5;7;10;3;0;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
103;humaira.januar453@gmail.com;123456;82877885135;1;Humaira Januar;1880188249728560;Laki-laki;1976-08-03;1;4;6;2;4;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
104;dr..gantar.aryani182@gmail.com;123456;89453828000;1;dr. Gantar Aryani;8722226589641180;Perempuan;2004-08-07;10;5;5;2;3;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
105;fitriani.purnawati,.s.e.i471@gmail.com;123456;82468315683;1;Fitriani Purnawati, S.E.I;6621096827821790;Perempuan;2002-02-05;13;10;7;3;2;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
106;cut.nadia.rajasa739@gmail.com;123456;80429475983;1;Cut Nadia Rajasa;7664933165247760;Laki-laki;2001-12-09;11;6;2;1;2;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
107;putri.permata763@gmail.com;123456;88483541065;1;Putri Permata;6411654819398920;Laki-laki;2001-05-28;3;2;8;2;5;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
108;faizah.samosir,.s.kom321@gmail.com;123456;86027174706;1;Faizah Samosir, S.Kom;6493013038166260;Laki-laki;1983-04-26;3;2;7;3;4;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
109;r.a..siska.setiawan172@gmail.com;123456;80094554619;1;R.A. Siska Setiawan;4719802920517740;Perempuan;2000-10-23;13;9;10;1;4;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
110;r.m..bambang.aryani678@gmail.com;123456;81801412726;1;R.M. Bambang Aryani;0415674856274678;Laki-laki;1981-04-16;4;6;7;2;1;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
111;embuh.rahmawati562@gmail.com;123456;84293069861;1;Embuh Rahmawati;0571229240102837;Laki-laki;2006-01-17;2;1;1;1;5;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
112;ajimat.haryanti,.m.ti.337@gmail.com;123456;83468081492;1;Ajimat Haryanti, M.TI.;3876716091458610;Laki-laki;1993-05-11;6;10;1;3;5;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
113;drs..drajat.thamrin495@gmail.com;123456;89140237675;1;Drs. Drajat Thamrin;5963570623638590;Laki-laki;1982-09-25;11;3;9;2;3;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
114;dr..rosman.wahyuni77@gmail.com;123456;87332553804;1;dr. Rosman Wahyuni;5043970405879680;Laki-laki;1994-06-01;11;8;6;2;0;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
115;sutan.prabu.yuniar865@gmail.com;123456;84564671723;1;Sutan Prabu Yuniar;8925701177161930;Laki-laki;1985-07-05;13;4;6;1;3;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
116;dt..ridwan.hardiansyah,.s.pt949@gmail.com;123456;86618455907;1;Dt. Ridwan Hardiansyah, S.Pt;5459796181663850;Laki-laki;1995-03-15;12;4;5;2;2;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
117;galang.tampubolon464@gmail.com;123456;88168585375;1;Galang Tampubolon;2276917915677560;Perempuan;1999-09-21;12;7;9;2;3;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
118;cici.suartini536@gmail.com;123456;81300279610;1;Cici Suartini;7253466526357660;Laki-laki;1988-08-23;7;7;7;3;2;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
119;naradi.usada14@gmail.com;123456;87288426735;1;Naradi Usada;7171490971022180;Laki-laki;2002-01-24;8;3;1;1;2;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
120;rini.wahyuni793@gmail.com;123456;89664537321;1;Rini Wahyuni;0545022332759890;Laki-laki;2001-08-19;11;6;8;1;5;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
121;talia.usada,.m.m.982@gmail.com;123456;80837127057;1;Talia Usada, M.M.;5542630097562630;Laki-laki;1986-10-08;14;2;4;3;5;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
122;mulyono.anggriawan663@gmail.com;123456;88060700120;1;Mulyono Anggriawan;8944433107070830;Perempuan;1998-05-01;5;5;10;1;2;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
123;umar.kuswandari391@gmail.com;123456;83645137591;1;Umar Kuswandari;6977395510559380;Perempuan;1979-07-27;6;4;7;3;4;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
124;sadina.hassanah165@gmail.com;123456;81621650795;1;Sadina Hassanah;6062159362201440;Laki-laki;1978-08-31;12;10;3;3;4;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
125;mulyanto.suryatmi828@gmail.com;123456;83402274817;1;Mulyanto Suryatmi;8433516881528000;Perempuan;2007-04-30;9;1;10;3;3;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
126;drs..cornelia.novitasari929@gmail.com;123456;80285613858;1;Drs. Cornelia Novitasari;1503029967115580;Laki-laki;1989-05-15;12;8;6;1;1;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
127;prasetyo.nasyidah238@gmail.com;123456;80302934409;1;Prasetyo Nasyidah;3758825163685390;Perempuan;1999-10-24;6;6;8;2;4;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
128;zahra.kuswoyo514@gmail.com;123456;88425211686;1;Zahra Kuswoyo;4316456421515810;Laki-laki;2002-04-25;15;3;9;2;4;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
129;kalim.anggriawan900@gmail.com;123456;87620498186;1;Kalim Anggriawan;7816273452312850;Laki-laki;1987-03-13;3;10;2;1;3;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
130;cinta.nuraini899@gmail.com;123456;87514168876;1;Cinta Nuraini;5305287357760140;Laki-laki;1991-08-09;14;2;5;3;4;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
131;elvina.siregar264@gmail.com;123456;81775106633;1;Elvina Siregar;1628432674743520;Perempuan;1995-09-06;6;7;3;3;0;2026-05-20 08:22:18.394883;2026-05-20 08:22:18.394883
